行号,标签,预测,判定
2249,这是可回收物_保温杯。,这个垃圾属于有害垃圾。,0
2250,这是可回收物_保温杯。,图中没有垃圾。,0
2251,这是可回收物_保温杯。,图片中的物品属于可回收物。,1
2252,这是可回收物_保温杯。,图片中的物品属于有害垃圾。,0
2253,这是可回收物_保温杯。,根据图片，这个物品属于其他垃圾类别。,0
2254,这是可回收物_保温杯。,图片中的物品属于其他垃圾类别。,0
2255,这是可回收物_保温杯。,图中的垃圾是一颗棕色的球。,0
2256,这是可回收物_保温杯。,这是一个不锈钢保温杯。杯子上印有中文，可能是品牌或设计师的名字。杯子的设计也很独特，有一个弯曲的把手，看起来很耐用。,1
2257,这是可回收物_保温杯。,图中的垃圾是五个蓝色的杯子。,1
2258,这是可回收物_保温杯。,图片中的物品属于可回收垃圾。,1
2259,这是可回收物_保温杯。,这个垃圾是陶瓷。,0
2260,这是可回收物_保温杯。,这个垃圾应该属于“其他垃圾”类别。,0
2261,这是可回收物_保温杯。,图片中的物品属于其他垃圾类别。,0
2262,这是可回收物_保温杯。,图中的垃圾是绿色的杯子。,1
2263,这是可回收物_保温杯。,这是一只星巴克的水瓶套。水瓶套上有一个卡通图案，图案中是一只戴着太阳镜的狗。水瓶套的设计非常可爱，适合作为水瓶的装饰和保护。,0
2264,这是可回收物_保温杯。,这是一个保温杯，通常用于保温热水。保温杯的设计可以帮助保持饮料的温度，使其在长时间内保持温暖。它通常由不锈钢制成，具有保温性能，可以长时间存放热水而不变质。,1
2265,这是可回收物_保温杯。,,0
2266,这是可回收物_保温杯。,这个垃圾属于可回收垃圾。,1
2267,这是可回收物_保温杯。,这张图片里没有提到垃圾，它是一只粉色的保温杯。,1
2268,这是可回收物_保温杯。,这是一张两个保温杯的照片。杯子的盖子是棕色的，杯子的把手是棕色的，杯子是圆柱形的，杯口处有一个凹槽，杯子上有“℃+”的标志。背景是一面砖墙，墙上有一些花和一只泰迪熊。,1
2269,这是可回收物_保温杯。,这个垃圾属于其他垃圾。,0
2270,这是可回收物_保温杯。,这张图片里有一只白色的保温杯和一个黑色的保温杯。它们看起来像是塑料制品。,1
2271,这是可回收物_保温杯。,这张图片里没有垃圾。,0
2272,这是可回收物_保温杯。,这个垃圾属于可回收垃圾。,1
2273,这是可回收物_保温杯。,这个垃圾属于可回收物。,1
2274,这是可回收物_保温杯。,这个垃圾属于厨房垃圾。,0
2275,这是可回收物_保温杯。,图片中的物品属于其他垃圾。,0
2276,这是可回收物_保温杯。,,0
2277,这是可回收物_保温杯。,这张图片里的垃圾属于可回收物。,1
2278,这是可回收物_保温杯。,图片中的物品属于厨余垃圾类别。,0
2279,这是可回收物_保温杯。,图中的垃圾是两个保温杯。,1
2280,这是可回收物_保温杯。,这是一个不锈钢保温壶，通常用于保温热水。壶身有两个把手，适合手持使用。壶身的颜色有烟灰和淡蓝两种选择。,1
2281,这是可回收物_保温杯。,,0
2282,这是可回收物_保温杯。,这个垃圾属于厨房垃圾。,0
2283,这是可回收物_保温杯。,图中的垃圾是一罐空的罐子和两个鸡蛋。,0
2284,这是可回收物_保温杯。,这个物品是一个不锈钢保温杯，属于厨房和家居用品。,1
2285,这是可回收物_保温杯。,这张图片中的垃圾类型是塑料瓶。,0
2286,这是可回收物_保温杯。,图片中的物品属于其他垃圾类别。,0
2287,这是可回收物_保温杯。,根据图片中的描述，这个物品是不锈钢保温杯。不锈钢保温杯属于金属垃圾。金属垃圾是指由金属材料制成的垃圾，包括金属制品、金属粉末、金属块、金属丝、金属箔等。金属垃圾对环境和人体健康有害，应进行分类回收。,1
2288,这是可回收物_保温杯。,图中的垃圾是保温杯。,1
2289,这是可回收物_保温杯。,这个垃圾是一个茶具。,0
2290,这是可回收物_保温杯。,这张图片里有一个不锈钢保温杯，上面有汽车的图案。这个保温杯看起来像是金属材料制成的，所以它可能属于金属垃圾。,1
2291,这是可回收物_保温杯。,这是一只保温杯。保温杯是一种可以长时间保持温度的杯子，通常用于热水或饮料。图片中的保温杯上有卡通图案，可能是为了吸引儿童或青少年使用。,1
2292,这是可回收物_保温杯。,这张图片里有塑料和花卉，属于其他垃圾。,0
2293,这是可回收物_保温杯。,根据图片中的物品，它属于可回收垃圾类别。,1
2294,这是可回收物_保温杯。,根据图片中的物品，可以判断出它们属于可回收垃圾。,1
2295,这是可回收物_保温杯。,图片中的物品属于其他垃圾。,0
2296,这是可回收物_保温杯。,这个图片中有一个黑色的水杯，旁边有一个黑色的笔和一个黑色的钱包。,1
2297,这是可回收物_保温杯。,图中的垃圾是咖啡盖保温杯。,1
2298,这是可回收物_保鲜盒。,这个垃圾属于塑料垃圾。,1
2299,这是可回收物_保鲜盒。,这张图片中的垃圾属于厨房垃圾。,0
2300,这是可回收物_保鲜盒。,这是一个透明的塑料容器，通常用于装食品或饮料。容器的设计看起来像是一个圆形的托盘，顶部有一个覆盖物，可能是用来保护食物或饮料的。这种容器在食品加工、餐饮行业和家庭烹饪中都很常见。,1
2301,这是可回收物_保鲜盒。,图片中的物品属于其他垃圾。,0
2302,这是可回收物_保鲜盒。,根据图片中的物品，可以看出这是一个塑料食品盒，属于其他垃圾类别。,0
2303,这是可回收物_保鲜盒。,这是一个冰箱的内部照片，冰箱的架子上放着许多塑料容器。这些容器里装有不同的食物，包括水果、蔬菜、零食和饮料。冰箱里还有一个冷藏室，上面放着一些瓶子和罐子。,0
2304,这是可回收物_保鲜盒。,这张图片里没有明确指出是什么垃圾。,0
2305,这是可回收物_保鲜盒。,这是一只蓝色的便当袋，放在厨房里。便当袋是用于携带和保存食物的袋子，通常用来存放热食，如热饭、热汤等。,0
2306,这是可回收物_保鲜盒。,这是一个透明的塑料容器，通常用于装食物。容器上有一些商标和文字，但具体的品牌或用途无法从图片中确定。,1
2307,这是可回收物_保鲜盒。,图中的垃圾是塑料盒。,1
2308,这是可回收物_保鲜盒。,图片中的物品属于其他垃圾类别。,0
2309,这是可回收物_保鲜盒。,这张图片里的是塑料垃圾。,1
2310,这是可回收物_保鲜盒。,图中展示了一个厨房橱柜里的储物盒。橱柜中的储物盒有三个，每个储物盒都装满了各种食物，如豆子和米。储物盒的盖子是透明的，便于查看盒内物品。,1
2311,这是可回收物_保鲜盒。,这个垃圾属于厨具类垃圾。,0
2312,这是可回收物_保鲜盒。,这是一组陶瓷保鲜碗。这些碗具有盖子，设计美观，适合用于保存食物。它们具有良好的保温效果，可以保持食物的新鲜度。,0
2313,这是可回收物_保鲜盒。,图中没有垃圾。,0
2314,这是可回收物_保鲜盒。,这是一个带盖的透明塑料容器套装。套装包括一个手提袋和两个透明的塑料容器。手提袋是绿色的，上面有叶子图案，手提袋两侧有带子，方便携带。塑料容器是透明的，底部有把手，可以方便地将容器放入冰箱或放入微波炉加热。这种套装通常用于存放和运输食物。,1
2315,这是可回收物_保鲜盒。,这是一个方形的塑料食品容器。它有一个透明的底部和一个黄色的盖子。这种类型的容器通常用于存放和保鲜食品，具有良好的密封性。,1
2316,这是可回收物_保鲜盒。,根据图片中的物品描述，该物品是玻璃保鲜盒。玻璃保鲜盒属于厨房垃圾类别。,0
2317,这是可回收物_保鲜盒。,这个垃圾属于厨余垃圾。,0
2318,这是可回收物_保鲜盒。,这是一张塑料盒的图片。塑料盒上有一个透明的盖子，盖子上有一个标志和一些图案。塑料盒上还贴有一个标签，上面写着“Seal More”。,1
2319,这是可回收物_保鲜盒。,这个垃圾属于厨房垃圾。,0
2320,这是可回收物_保鲜盒。,这是一个塑料餐盒，通常用于分隔食物。图片中可以看到两个隔间，一个装有勺子和叉子，另一个可能装有其他物品。塑料餐盒通常用于学校、办公室或家庭的午餐时间，方便携带和食用。,1
2321,这是可回收物_保鲜盒。,,0
2322,这是可回收物_保鲜盒。,这个垃圾属于其他垃圾。,0
2323,这是可回收物_保鲜盒。,图中的垃圾是一张图片。,0
2324,这是可回收物_保鲜盒。,这张图片展示了冰箱内部和外部的对比，展示了一个冰箱整理功能的强大。图片中没有显示出具体的垃圾类型。,0
2325,这是可回收物_保鲜盒。,这张图片展示了各种食物容器和玻璃容器，但没有明确显示这些容器属于什么类型的垃圾。,0
2326,这是可回收物_保鲜盒。,图片中的物品属于其他垃圾类别。,0
2327,这是可回收物_信封。,这张图片里没有垃圾。,0
2328,这是可回收物_信封。,图中的垃圾是塑料袋。,0
2329,这是可回收物_信封。,这是韵达快递的快递袋。袋子上有韵达快递的标志和联系方式。,0
2330,这是可回收物_信封。,这张图片是一个快递包裹的标签，属于“快递”类别。,0
2331,这是可回收物_信封。,该物品属于其他垃圾类别。,0
2332,这是可回收物_信封。,图中的垃圾是快递单据。,0
2333,这是可回收物_信封。,这张图片里是可回收垃圾。图片中可以看到一些塑料包装和纸张，这些都是可回收的垃圾。,1
2334,这是可回收物_信封。,图中的垃圾是白色的纸张，上面印有红色的中文文字。,1
2335,这是可回收物_信封。,图片中的物品属于可回收物类别。,1
2336,这是可回收物_信封。,这是快递包装袋。,0
2337,这是可回收物_信封。,这张图片显示的是一个纸张材料制成的宣传册或宣传海报。根据这张图片的内容，它可能与物流、快递或运输服务有关。由于图片中没有明确的标识，我们无法确定它具体属于哪种类型的垃圾。一般来说，纸张材料的垃圾通常属于可回收垃圾，但具体还需要根据实际情况进行判断。,1
2338,这是可回收物_信封。,根据图片中的信息，该物品属于食品垃圾。,0
2339,这是可回收物_信封。,根据图片内容，该物品属于其他垃圾。,0
2340,这是可回收物_信封。,这个垃圾属于电子垃圾（e-waste）。,0
2341,这是可回收物_信封。,这是一些包装袋。它们可能用于包装食品、药品或其他商品。包装袋上可能有各种标签和标志，用于指示产品的品牌、类型、规格和使用说明等信息。,0
2342,这是可回收物_信封。,这是一张印有“YTO圆通速递”标志的快递信封。信封上印有“WORLDWIDE EXPRESS”、“圆通速递”、“服务遍布神州”、“国际、国内、市内快件”、“WWW.YTO.NET.CN”、“上海圆通速递有限公司”等内容。,1
2343,这是可回收物_信封。,图中的垃圾是一张白色塑料袋。,0
2344,这是可回收物_信封。,图片中的物品属于其他垃圾。,0
2345,这是可回收物_信封。,图片中的物品属于可回收垃圾。,1
2346,这是可回收物_信封。,图中展示了一个绿色苹果手机壳，背景中还展示了三个用牛皮纸包装的苹果手机。,0
2347,这是可回收物_信封。,这是一张黄色的包装袋图片，上面有“HLA”和“苏州辰星新材料有限公司”的字样。包装袋看起来像是用于包装一些物品的，可能是用于运输或者仓储的。,0
2348,这是可回收物_信封。,根据图片中的“韵达快递”字样和快递袋上的“寄件”字样，可以判断该物品属于快递垃圾。,0
2349,这是可回收物_信封。,这张图片里显示的是一个快递公司的标志，具体是天天快递的标志。,0
2350,这是可回收物_信封。,这是一台印刷设备，具体来说是一台平口袋纸袋机。平口袋纸袋机是一种用于生产纸袋的机械设备，通常用于制造纸袋、纸盒、纸板箱等包装产品。它可以通过机械操作来调整纸袋的形状和大小，从而实现批量生产。,0
2351,这是可回收物_信封。,这张图片里显示的是EMS快递公司的快递贴纸。EMS是全球最大的快递服务提供商之一，主要提供包裹快递服务。,0
2352,这是可回收物_信封。,这个垃圾属于“塑料制品”。,0
2353,这是可回收物_信封。,图中的垃圾是纸质垃圾。,1
2354,这是可回收物_信封。,这张图片里的是办公用品，不属于可回收垃圾。,0
2355,这是可回收物_信封。,图片中的物品属于其他垃圾类别。,0
2356,这是可回收物_信封。,这张图片里是牛皮纸气泡袋，属于其他垃圾。,0
2357,这是可回收物_信封。,这张图片里的垃圾是废纸。,1
2358,这是可回收物_信封。,这个垃圾是废弃的文件夹。,0
2359,这是可回收物_充电头。,这张图片中的垃圾是：废旧电器。,0
2360,这是可回收物_充电头。,这张图片中的垃圾可以归类为电子垃圾。,0
2361,这是可回收物_充电头。,这张图片里是一台充电器，没有提到是属于哪种垃圾。,1
2362,这是可回收物_充电头。,这是一个充电器，用于为电子设备充电。充电器通常有两个插脚，分别连接到设备的电源和数据线。这个充电器可能适用于智能手机、平板电脑或其他支持USB充电的设备。,1
2363,这是可回收物_充电头。,图中的垃圾是手机充电器。,1
2364,这是可回收物_充电头。,图片中的物品属于其他垃圾。,0
2365,这是可回收物_充电头。,图中的垃圾是“适配 东成电动扳手 充电器”。,1
2366,这是可回收物_充电头。,这是一个充电器。,1
2367,这是可回收物_充电头。,图片中的物品属于其他垃圾类别。,0
2368,这是可回收物_充电头。,根据图片中的描述，这个物品是一个USB充电器，属于电子废弃物。,0
2369,这是可回收物_充电头。,这个垃圾可以归类为“电器插头”。,1
2370,这是可回收物_充电头。,这张图片里没有提到垃圾。,0
2371,这是可回收物_充电头。,这张图片里的垃圾是一种充电器。,1
2372,这是可回收物_充电宝。,图中的垃圾是一台银色外壳的充电宝。,1
2373,这是可回收物_充电宝。,图片中的物品属于其他垃圾。,0
2374,这是可回收物_充电宝。,这是一张小米（Xiaomi）充电宝的照片。图片中可以看到充电宝的外壳是银色的，并且上面有一个小的笑脸表情。,1
2375,这是可回收物_充电宝。,这张图片里是一个充电宝，它通常被视为电子垃圾。,0
2376,这是可回收物_充电宝。,这张图片里的是电子垃圾。,0
2377,这是可回收物_充电宝。,图中的垃圾是手机电池。,0
2378,这是可回收物_充电宝。,这张图片里有金属垃圾。,0
2379,这是可回收物_充电宝。,这张图片里显示的是一个充电宝。,1
2380,这是可回收物_充电宝。,这个物品是一台手机充电宝，属于电子产品。,1
2381,这是可回收物_充电宝。,这张图片里的是银色金属外壳的手机充电宝，具体来说，它可能是电子废弃物。电子废弃物（Electronics Waste，简称EW）是指在使用过程中产生的废弃电子设备、元器件、电子材料等。这类废弃物可能含有有害物质，对环境和人体健康构成威胁。建议在处理这类废弃物时，按照相关法律法规进行正确分类和处理。,1
2382,这是可回收物_充电宝。,这张图片里没有垃圾，是一个手持设备，可能是手机或平板电脑。,0
2383,这是可回收物_充电线。,图中的垃圾是三根数据线。,1
2384,这是可回收物_充电线。,图中的垃圾是插头和电线。,1
2385,这是可回收物_充电线。,图中的垃圾是手机充电线。,1
2386,这是可回收物_充电线。,这个垃圾应该归为电子垃圾。,0
2387,这是可回收物_充电线。,图片中的物品属于可回收物。,1
2388,这是可回收物_充电线。,根据图片中的物品，这应该属于电子废弃物（E-Waste）类别。,0
2389,这是可回收物_充电线。,图中没有垃圾，是一张图片。,0
2390,这是可回收物_充电线。,这是一张显示两部手机充电线的图片。图中手机充电线有红色和白色两种颜色，其中白色充电线更长，长度为1米，而红色充电线更短，长度为2米。充电线两端有透明的保护盖，两端都有按钮，可以调节充电线的长度。,1
2391,这是可回收物_充电线。,图片中的物品属于可回收垃圾。,1
2392,这是可回收物_充电线。,这是一个USB Hub，通常用于连接多个设备到一个USB接口。它可以通过USB线连接到电脑或设备的USB端口。这个USB Hub可以提供更多的USB接口，方便用户扩展USB设备。,0
2393,这是可回收物_充电线。,这个垃圾属于电子产品废弃物。,0
2394,这是可回收物_充电线。,这张图片的内容是一个灯泡和电线的组合。灯泡看起来像是一个LED灯，而电线则连接到灯泡上。这种灯泡通常用于汽车或电子设备的装饰照明。  由于图片内容较为简单，没有其他物体或细节，因此不需要进行垃圾分类。,0
2395,这是可回收物_充电线。,图片中的物品属于有害垃圾类别。,0
2396,这是可回收物_充电线。,这张图片中的垃圾是电脑数据线。,1
2397,这是可回收物_充电线。,这张图片里没有明确显示是什么垃圾。,0
2398,这是可回收物_充电线。,图中的垃圾是USB数据线。,1
2399,这是可回收物_充电线。,图中的垃圾是一段网线，上面有电路板和一些小型元件。,0
2400,这是可回收物_充电线。,这张图片展示的是一根多芯的电线，通常用于连接电脑或其他电子设备。多芯电线通常用于连接电脑、手机等设备，而不是用于垃圾处理。因此，这张图片中的多芯电线不属于垃圾。,0
2401,这是可回收物_充电线。,这是一张展示不同颜色和材质的USB数据线的图片。,1
2402,这是可回收物_充电线。,图中的垃圾是一些塑料袋和塑料片。,0
2403,这是可回收物_充电线。,图中有一个红色的小机器人，它有一个黑色的麦克风，两个黑色的夹子，看起来像是一个麦克风支架。,0
2404,这是可回收物_充电线。,图片中的物品属于其他垃圾。,0
2405,这是可回收物_充电线。,这张图片中的物体是一根USB线和一根Micro USB线。由于它们是不同的接口类型，它们可能会有不同功能的连接。它们可能用于不同的设备或不同的数据传输需求。,1
2406,这是可回收物_充电线。,这张图片里的物品看起来是一个电源线插头和插座，可能属于电子垃圾。电子垃圾通常指那些不再具有使用价值，但具有回收利用价值的电子设备。这种物品可能需要专门的回收处理。,1
2407,这是可回收物_充电线。,这张图片里的垃圾是电缆线。,1
2408,这是可回收物_充电线。,这张图片里的垃圾是“电子产品线缆”。,1
2409,这是可回收物_充电线。,图片中的物品属于有害垃圾类别。,0
2410,这是可回收物_充电线。,这张图片里没有明显的垃圾。它是一张白色USB线和一个苹果充电器的图片。,1
2411,这是可回收物_充电线。,这是USB充电线。USB充电线是一种连接设备和电源的电缆，通常用于将设备连接到电源，以便充电。它具有USB接口，可以为设备提供电力和数据传输。,1
2412,这是可回收物_充电线。,图中的垃圾是充电器。,1
2413,这是可回收物_充电线。,这个垃圾是：线缆（电缆）,1
2414,这是可回收物_充电线。,,0
2415,这是可回收物_充电线。,这个物品是一根USB网络连接线。,1
2416,这是可回收物_充电线。,图中没有垃圾。,0
2417,这是可回收物_充电线。,这张图片里有一个黑色的插座连接线，属于电子垃圾。电子垃圾是指不再具有使用价值的电子设备、电子部件和元器件。,0
2418,这是可回收物_充电线。,根据图片内容，物品属于电子废弃物。,0
2419,这是可回收物_充电线。,这个图片中的垃圾属于电子产品废弃物。,0
2420,这是可回收物_充电线。,这是一根USB转DC圆头充电线。图中显示了多种不同直径的圆头，包括DC 2.0、DC 2.5、DC 3.5、DC 4.0和DC 5.5。这些圆头用于连接不同的USB端口和DC电源适配器，以便为设备充电。,1
2421,这是可回收物_充电线。,图中没有垃圾。,0
2422,这是可回收物_充电线。,这张图片里没有垃圾。,0
2423,这是可回收物_充电线。,这张图片显示的是一根电线。电线通常用于连接电子设备，例如电脑、电视、电话、网络设备等。,1
2424,这是可回收物_充电线。,这张图片中的垃圾属于电子垃圾。,0
2425,这是可回收物_充电线。,这张图片中的物品是线缆。,1
2426,这是可回收物_充电线。,这张图片里的是塑料制品。,0
2427,这是可回收物_充电线。,这张图片里有一个USB接口和一个Micro USB接口的线缆。由于线缆没有具体的使用场景描述，我们无法确定它属于哪种类型的垃圾。通常情况下，这类线缆可能会被分类为电子废弃物（E-Waste）或电子设备废弃物（E-WD）之一。如果线缆损坏或不能正常工作，可能会被视为电子废弃物。然而，如果没有更多的信息，我们无法确定它的确切类型。,0
2428,这是可回收物_充电线。,图片中的物品属于其他垃圾类别。,0
2429,这是可回收物_充电线。,这个图片中的物品是一根USB延长线。,1
2430,这是可回收物_充电线。,这个垃圾属于电子垃圾。,0
2431,这是可回收物_充电线。,这是一张绿联品牌的USB数据线的照片。绿联是知名的品牌，提供各种电子设备的配件，包括USB数据线、电源线、充电线等。,1
2432,这是可回收物_充电线。,这是一个USB转3.5mm音频插头的转换器。图中显示了两个不同类型的连接端口：上边是标准的USB端口，下边是3.5mm音频插头。这种转换器通常用于连接音频设备到电脑，如耳机、麦克风等，将音频信号转换为USB数据传输。,1
2433,这是可回收物_充电线。,图中的垃圾是“苹果5数据线1米新包装”。,1
2434,这是可回收物_充电线。,图中的“垃圾”是指图中展示的多种插头和充电线的组合。这些插头和充电线用于连接不同的电子设备，例如手机、平板电脑、电脑、相机等。,1
2435,这是可回收物_充电线。,这个垃圾应该属于电子废弃物。,0
2436,这是可回收物_充电线。,这是一个充电传输二合一的转换头，通常用于将安卓设备连接到PSP（PlayStation Portable）上。这个转换头可以实现充电和数据传输的功能，使得用户可以使用安卓设备的充电接口给PSP设备充电，并且可以将PSP设备的USB接口连接到电脑或其他设备上，进行数据传输。这种设备通常用于PSP设备的便携式充电和数据传输需求。,1
2437,这是可回收物_充电线。,这是三合一的充电数据线。它可以在三个不同的端口之间传输数据和电源，包括USB-C、USB-A和USB-A。这种设计使得用户可以同时使用多种设备，如手机、平板电脑和电脑。,1
2438,这是可回收物_八宝粥罐。,图中没有垃圾。,0
2439,这是可回收物_八宝粥罐。,图中的垃圾是空的方便面包装盒。,0
2440,这是可回收物_八宝粥罐。,图片中的物品属于其他垃圾类别。,0
2441,这是可回收物_八宝粥罐。,这是一个罐头食品的包装。罐头上标有“桂圆莲子八宝粥罐头”字样，配料包括水、白砂糖、糯米、麦仁、红豆、腰豆、花生、绿豆、桂圆、莲子、银耳、食品添加剂（蔗糖脂肪酸酯、三聚磷酸钠、乙二胺四乙二酸二钠、D-异抗坏血酸钠）。保质期为24个月，生产日期见罐底。,1
2442,这是可回收物_八宝粥罐。,图片中的物品属于厨余垃圾类别。,0
2443,这是可回收物_八宝粥罐。,根据图片中的信息，这个物品是“八宝粥”，属于食品垃圾。,0
2444,这是可回收物_八宝粥罐。,根据图片中的信息，这个物品属于其他垃圾。,0
2445,这是可回收物_八宝粥罐。,图片中的物品属于厨余垃圾。,0
2446,这是可回收物_八宝粥罐。,这个垃圾属于食品废弃物。,0
2447,这是可回收物_八宝粥罐。,这是一罐八宝粥，标有“泰山八宝粥”和“深航程发”的字样。八宝粥是一种传统的中式汤类食品，通常由八种不同的食材（如红枣、桂圆、莲子、枸杞、薏米、山药、白果、葡萄干）搭配熬制而成，具有补气养血、益肾健脾等功效。,1
2448,这是可回收物_八宝粥罐。,这张图片中的食物罐头属于厨余垃圾。,0
2449,这是可回收物_刀。,图片中的物品属于厨余垃圾。,0
2450,这是可回收物_刀。,这张图片里是一个菜刀。菜刀是一种用于切菜的工具，通常用于厨房。,1
2451,这是可回收物_刀。,图片中的物品属于有害垃圾。,0
2452,这是可回收物_刀。,图片中的物品属于其他垃圾类别。,0
2453,这是可回收物_刀。,这个垃圾属于厨房垃圾。,0
2454,这是可回收物_刀。,图片中的物品属于厨余垃圾类别。,0
2455,这是可回收物_刀。,图中的垃圾是一把刀，刀柄和刀身有花纹装饰。,1
2456,这是可回收物_刀。,根据图片内容，该物品属于有害垃圾。,0
2457,这是可回收物_刀。,这是一把刀具。刀具的材质为纯钢，刀把为仿红木。刀具的硬度为HRC56-58℃。刀具的全长为278mm，刀片长168mm，刀片宽45mm，刀片厚2.1mm。,1
2458,这是可回收物_刀。,这是一把刀。,1
2459,这是可回收物_刀。,这是一把折叠刀。折叠刀是一种便携的工具，通常由金属制成，可以折叠成一个紧凑的形状，方便携带。,1
2460,这是可回收物_刀。,这张图片里显示的是一个塑料刀，塑料刀属于其他垃圾。,0
2461,这是可回收物_刀。,图片中的物品属于有害垃圾。,0
2462,这是可回收物_刀。,图片中的物品属于厨余垃圾。,0
2463,这是可回收物_刀。,这是一把刀具，具体来说是一把锋利的锯条。锯条通常用于切割木材或其他材料，以其锋利的边缘和坚固的材质而闻名。刀具的材料通常由钢制成，这种材料具有较高的硬度和耐磨性，使其能够承受使用过程中的磨损和损伤。,1
2464,这是可回收物_刀。,图中的垃圾是一把刀。,1
2465,这是可回收物_刀。,这张图片里是一把菜刀。,1
2466,这是可回收物_刀。,图中的垃圾是石头。,0
2467,这是可回收物_刀。,这个垃圾应该属于“刀具”类别。,0
2468,这是可回收物_刀。,图中的垃圾是一把锋利的刀具。,1
2469,这是可回收物_刀。,这张图片里的是刀具，不是垃圾。,0
2470,这是可回收物_刀。,根据图片中的描述，这个物品是刀具，属于厨具垃圾。,0
2471,这是可回收物_刀。,这个垃圾是厨房刀具。,1
2472,这是可回收物_刀。,图片中的物品属于有害垃圾。,0
2473,这是可回收物_剃须刀片。,根据图片中的信息，该物品属于金属垃圾。,0
2474,这是可回收物_剃须刀片。,这张图片里的垃圾是金属废料。,1
2475,这是可回收物_剃须刀片。,这个垃圾是废纸。,0
2476,这是可回收物_剪刀。,根据图片中的描述，物品是一把剪刀。剪刀是一种厨房用品，通常用于切割食材或烹饪。因此，这把剪刀属于厨房垃圾。,0
2477,这是可回收物_剪刀。,图中的垃圾是钳子。,0
2478,这是可回收物_剪刀。,这是一把厨房用的剪刀。它有一个红色的按钮，可能是用来控制剪刀的开合。剪刀的刀刃锋利，适合用来剪切食材。,1
2479,这是可回收物_剪刀。,这张图片里是金属废弃物。,0
2480,这是可回收物_剪刀。,图中的垃圾是剪刀。,1
2481,这是可回收物_剪刀。,这个垃圾不是垃圾，而是剪刀。,1
2482,这是可回收物_剪刀。,这张图片里没有垃圾。,0
2483,这是可回收物_剪刀。,这张图片里没有垃圾。,0
2484,这是可回收物_剪刀。,这是一把剪刀。它有一个弯曲的刀片和一个塑料手柄。剪刀通常用于剪切纸张、布料和其他材料。,1
2485,这是可回收物_剪刀。,图中的垃圾是一把剪刀。,1
2486,这是可回收物_剪刀。,这张图片里的是金属剪刀。金属剪刀是一种剪切工具，通常用于剪切材料。,1
2487,这是可回收物_剪刀。,图是一盒剪刀，剪刀柄是红色的。,1
2488,这是可回收物_剪刀。,图片中的物品属于不可回收垃圾类别。,0
2489,这是可回收物_勺子。,这张图片里的是不锈钢餐具，属于金属垃圾。,1
2490,这是可回收物_勺子。,这张图片里的垃圾是不锈钢勺子。,1
2491,这是可回收物_勺子。,这是一把银勺子。它有一个弯曲的勺柄，表面有精细的雕刻图案。银勺子通常用于食用或作为装饰品。,1
2492,这是可回收物_勺子。,,0
2493,这是可回收物_勺子。,这是一个金勺子，勺子柄是金的，柄上有蓝白花纹，勺子柄上还镶嵌着蓝色的装饰。,1
2494,这是可回收物_勺子。,这张图片里是塑料垃圾。,0
2495,这是可回收物_勺子。,这个垃圾属于厨房垃圾。,0
2496,这是可回收物_勺子。,这张图片里的垃圾是塑料制品。塑料制品通常包括塑料勺子、塑料餐具等。,1
2497,这是可回收物_勺子。,图中的垃圾是三个银色的勺子。,1
2498,这是可回收物_勺子。,这张图片里显示的是一个金属工艺品。,0
2499,这是可回收物_勺子。,这张图片显示了一对金手镯，其中一个手镯戴在手上，另一个手镯戴在脚上。,0
2500,这是可回收物_勺子。,图片中的物品属于其他垃圾。,0
2501,这是可回收物_勺子。,这个垃圾属于厨具垃圾。,0
2502,这是可回收物_勺子。,这张图片里没有明显的垃圾。,0
2503,这是可回收物_勺子。,图中的垃圾是一把黄色的勺子。,1
2504,这是可回收物_勺子。,图中没有垃圾。,0
2505,这是可回收物_勺子。,图中的垃圾是塑料勺子。,1
2506,这是可回收物_勺子。,这是一把勺子，勺子柄上有一个红色的徽章，柄身部分有精细的花纹装饰。勺子可能是用来盛放食物或饮料的。,1
2507,这是可回收物_勺子。,这是一把古代的铜勺子。铜勺子通常用于盛放食物，尤其是在古代，它们是日常饮食和烹饪的重要工具。这些勺子通常具有精美的花纹和装饰，反映了古代的工艺水平和审美观念。,1
2508,这是可回收物_勺子。,这是一幅插画，描绘了一个茶歇的场景。画面中有茶杯、柠檬片、饼干和勺子。整体色调以棕色和绿色为主，给人一种温馨和舒适的感觉。,1
2509,这是可回收物_勺子。,这张图片中的物品是一把银勺子，旁边有一把标尺。银勺子和标尺属于厨房用具和餐具，它们的材质是金属，通常用于烹饪。因此，这个垃圾应该被分类为“厨房用具和餐具”。,0
2510,这是可回收物_勺子。,这张图片中的物品是塑料和金属制品，不属于可回收垃圾，也不属于有害垃圾。,0
2511,这是可回收物_勺子。,这是一个塑料餐具盒，内含叉勺餐具。餐具盒的材质是塑料，餐具的材质是不锈钢。餐具盒的设计简约，适合放在办公桌、餐桌等场合使用。,0
2512,这是可回收物_勺子。,图片中的物品属于可回收垃圾。,1
2513,这是可回收物_勺子。,根据图片中的物品是银勺子，通常银勺子不属于有害垃圾，属于其他垃圾类别。,0
2514,这是可回收物_勺子。,这是一对青花瓷勺子。青花瓷勺子是中国古代瓷器的一种，通常用于盛放汤菜等。青花瓷勺子通常具有精美的装饰图案，通常是青花图案，颜色以蓝色为主，因此得名。青花瓷勺子不仅美观，而且实用，常被用作烹饪工具。,1
