行号,预测,标签
3546,图中展示的物品是薯条，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是薯条,根据垃圾分类的标准，应该属于厨余垃圾
"
3547,图中展示的物品是毛巾，根据垃圾分类的标准，应该属于废品。,"图中展示的物品是毛巾,根据垃圾分类的标准，应该属于其他垃圾
"
3548,"图中展示的物品是塑料袋,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是档案袋,根据垃圾分类的标准，应该属于可回收物
"
3549,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是薯条,根据垃圾分类的标准，应该属于厨余垃圾
"
3550,图中展示的物品是{toothbrush}，根据垃圾分类的标准，应该属于{toothbrush}。,"图中展示的物品是电动牙刷,根据垃圾分类的标准，应该属于可回收物
"
3551,图中展示的物品是胡萝卜，属于厨余垃圾。,"图中展示的物品是胡萝卜,根据垃圾分类的标准，应该属于厨余垃圾
"
3552,图中展示的物品是{bag}，根据垃圾分类的标准，应该属于{garbage_type},"图中展示的物品是手提包,根据垃圾分类的标准，应该属于可回收物
"
3553,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是电池板,根据垃圾分类的标准，应该属于有害垃圾
"
3554,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是冰糖葫芦,根据垃圾分类的标准，应该属于厨余垃圾
"
3555,图中展示的物品是{no garbage}，根据垃圾分类的标准，不应该属于任何垃圾类别。,"图中展示的物品是空气加湿器,根据垃圾分类的标准，应该属于可回收物
"
3556,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是苍蝇拍,根据垃圾分类的标准，应该属于其他垃圾
"
3557,"图中展示的物品是[wood_object],根据垃圾分类的标准，应该属于[wood]","图中展示的物品是木质锅铲,根据垃圾分类的标准，应该属于可回收物
"
3558,图中展示的物品是剩饭剩菜，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是PE塑料袋,根据垃圾分类的标准，应该属于其他垃圾
"
3559,"图中展示的物品是[none],根据垃圾分类的标准，应该属于[none]","图中展示的物品是量杯,根据垃圾分类的标准，应该属于可回收物
"
3560,图中展示的物品是{drugs_or_supplements}，根据垃圾分类的标准，应该属于{garbage_type}垃圾。,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
3561,图中展示的物品是蔬菜,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
3562,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是地铁票,根据垃圾分类的标准，应该属于可回收物
"
3563,图中展示的物品是{no garbage}，根据垃圾分类的标准，应该属于{no garbage},"图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物
"
3564,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物
"
3565,图中展示的物品是罐头，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是八宝粥罐,根据垃圾分类的标准，应该属于可回收物
"
3566,"图中展示的物品是{food_object},根据垃圾分类的标准，应该属于{food}","图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾
"
3567,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是白菜,根据垃圾分类的标准，应该属于厨余垃圾
"
3568,"图中展示的物品是{garbage_box},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是泡沫盒子,根据垃圾分类的标准，应该属于可回收物
"
3569,图中展示的物品是毛巾，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是毛巾,根据垃圾分类的标准，应该属于其他垃圾
"
3570,图中展示的物品是路由器，根据垃圾分类的标准，应该属于电子废弃物。,"图中展示的物品是路由器,根据垃圾分类的标准，应该属于可回收物
"
3571,图中展示的物品是线轴，根据垃圾分类的标准，应该属于{garbage_type},"图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物
"
3572,图中展示的物品是汉堡，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是汉堡,根据垃圾分类的标准，应该属于厨余垃圾
"
3573,图中展示的物品是{food}，根据垃圾分类的标准，应该属于{food waste},"图中展示的物品是烤鸡烤鸭,根据垃圾分类的标准，应该属于厨余垃圾
"
3574,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于玻璃,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物
"
3575,饼干{garbage_object}；{garbage_type},"图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾
"
3576,"图中展示的物品是{food_object},根据垃圾分类的标准，应该属于{food}","图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾
"
3577,图中展示的物品是铅笔，根据垃圾分类的标准，应该属于废金属,"图中展示的物品是笔及笔芯,根据垃圾分类的标准，应该属于其他垃圾
"
3578,图中展示的物品是塑料瓶，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是胶水,根据垃圾分类的标准，应该属于有害垃圾
"
3579,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
3580,"图中展示的物品是[iron],[garbage_object],[garbage_type]","图中展示的物品是电熨斗,根据垃圾分类的标准，应该属于可回收物
"
3581,"图中展示的物品是饼干,根据垃圾分类的标准，应该属于垃圾食品","图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾
"
3582,图中展示的物品是购物袋，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
3583,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是骨肉相连,根据垃圾分类的标准，应该属于厨余垃圾
"
3584,图中展示的物品是饼干，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾
"
3585,图中展示的物品是坚果，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是巴旦木,根据垃圾分类的标准，应该属于厨余垃圾
"
3586,图中展示的物品是玩偶，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
3587,图中展示的物品是{gum}，根据垃圾分类的标准，应该属于{garbage_type}垃圾。,"图中展示的物品是果冻,根据垃圾分类的标准，应该属于厨余垃圾
"
3588,图中展示的物品是[blow玻璃]，根据垃圾分类的标准，应该属于[玻璃],"图中展示的物品是灯罩,根据垃圾分类的标准，应该属于可回收物
"
3589,图中展示的物品是扬声器，根据垃圾分类的标准，应该属于电子垃圾,"图中展示的物品是废弃扩声器,根据垃圾分类的标准，应该属于可回收物
"
3590,图中展示的物品是充电器，根据垃圾分类的标准，应该属于电子垃圾。,"图中展示的物品是充电头,根据垃圾分类的标准，应该属于可回收物
"
3591,图中展示的物品是[alarmclock]，根据垃圾分类的标准，应该属于[垃圾],"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
3592,"图中展示的物品是[food],根据垃圾分类的标准，应该属于[厨余垃圾]","图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
3593,"图中展示的物品是坚果,根据垃圾分类的标准，应该属于可回收垃圾","图中展示的物品是巴旦木,根据垃圾分类的标准，应该属于厨余垃圾
"
3594,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是档案袋,根据垃圾分类的标准，应该属于可回收物
"
3595,"图中展示的物品是[green_object],根据垃圾分类的标准，应该属于[厨余垃圾]","图中展示的物品是瓜子,根据垃圾分类的标准，应该属于厨余垃圾
"
3596,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是蚕豆,根据垃圾分类的标准，应该属于厨余垃圾
"
3597,"图中展示的物品是{light_object},根据垃圾分类的标准，应该属于{environmental}","图中展示的物品是玻璃球,根据垃圾分类的标准，应该属于可回收物
"
3598,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是订书机,根据垃圾分类的标准，应该属于可回收物
"
3599,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是菠萝,根据垃圾分类的标准，应该属于厨余垃圾
"
3600,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是白萝卜,根据垃圾分类的标准，应该属于厨余垃圾
"
3601,图中展示的物品是毛巾，根据垃圾分类的标准，应该属于废品,"图中展示的物品是毛巾,根据垃圾分类的标准，应该属于其他垃圾
"
3602,图中展示的物品是纸巾，根据垃圾分类的标准，应该属于纸张垃圾。,"图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾
"
3603,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是咖啡渣,根据垃圾分类的标准，应该属于厨余垃圾
"
3604,图中展示的物品是肉干，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是牛肉干,根据垃圾分类的标准，应该属于厨余垃圾
"
3605,图中展示的物品是{bag}，根据垃圾分类的标准，应该属于{可回收物}。,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
3606,图中展示的物品是[meat]，根据垃圾分类的标准，应该属于[garbage_type]肉类。,"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾
"
3607,图中展示的物品是灰尘掸子，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是鸡毛掸,根据垃圾分类的标准，应该属于其他垃圾
"
3608,图中展示的物品是蔬菜,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
3609,计算器{garbage_object},"图中展示的物品是计算器,根据垃圾分类的标准，应该属于可回收物
"
3610,图中展示的物品是灯，根据垃圾分类的标准，应该属于有害垃圾,"图中展示的物品是灯罩,根据垃圾分类的标准，应该属于可回收物
"
3611,图中展示的物品是{insect_swatter}，根据垃圾分类的标准，应该属于{environmental},"图中展示的物品是苍蝇拍,根据垃圾分类的标准，应该属于其他垃圾
"
3612,图中展示的物品是剃须刀，根据垃圾分类的标准，应该属于电子废弃物,"图中展示的物品是电动剃须刀,根据垃圾分类的标准，应该属于可回收物
"
3613,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是骨肉相连,根据垃圾分类的标准，应该属于厨余垃圾
"
3614,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是花生皮,根据垃圾分类的标准，应该属于厨余垃圾
"
3615,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是打气筒,根据垃圾分类的标准，应该属于可回收物
"
3616,"图中展示的物品是{bag_object},根据垃圾分类的标准，应该属于{recycle}","图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
3617,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
3618,图中展示的物品是红肠，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
3619,图中展示的物品是布料，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物
"
3620,图中展示的物品是手机，根据垃圾分类的标准，应该属于电子垃圾。,"图中展示的物品是手机,根据垃圾分类的标准，应该属于可回收物
"
3621,图中展示的物品是电池，根据垃圾分类的标准，应该属于有害垃圾。,"图中展示的物品是蓄电池,根据垃圾分类的标准，应该属于有害垃圾
"
3622,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是废弃扩声器,根据垃圾分类的标准，应该属于可回收物
"
3623,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是钢丝球,根据垃圾分类的标准，应该属于可回收物
"
3624,图中展示的物品是{baked goods}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
3625,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物
"
3626,图中展示的物品是剪刀，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是剪刀,根据垃圾分类的标准，应该属于可回收物
"
3627,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
3628,"图中展示的物品是[fruit],根据垃圾分类的标准，应该属于[fruit]","图中展示的物品是橙子,根据垃圾分类的标准，应该属于厨余垃圾
"
3629,"图中展示的物品是[other],根据垃圾分类的标准，应该属于[其他垃圾]","图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
3630,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
3631,图中展示的物品是购物袋，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
3632,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是蛋挞,根据垃圾分类的标准，应该属于厨余垃圾
"
3633,图中展示的物品是坚果，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是巴旦木,根据垃圾分类的标准，应该属于厨余垃圾
"
3634,图中展示的物品是木棍，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是烟蒂,根据垃圾分类的标准，应该属于其他垃圾
"
3635,图中展示的物品是餐具，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是塑料盆,根据垃圾分类的标准，应该属于可回收物
"
3636,图中展示的物品是火车票，根据垃圾分类的标准，应该属于{garbage_type}废弃物。,"图中展示的物品是票据,根据垃圾分类的标准，应该属于其他垃圾
"
3637,图中展示的物品是面包，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是贝果,根据垃圾分类的标准，应该属于厨余垃圾
"
3638,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于{vegetable},"图中展示的物品是粉条,根据垃圾分类的标准，应该属于厨余垃圾
"
3639,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
3640,图中展示的物品是塑料瓶，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是塑料瓶,根据垃圾分类的标准，应该属于可回收物
"
3641,图中展示的物品是毛绒玩具，根据垃圾分类的标准，应该属于垃圾中的可回收物。,"图中展示的物品是暖宝宝,根据垃圾分类的标准，应该属于可回收物
"
3642,图中展示的物品是{drinking_water}，根据垃圾分类的标准，应该属于{garbage_type}其他垃圾。,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
3643,图中展示的物品是[food]，根据垃圾分类的标准，应该属于[食品],"图中展示的物品是牛肉干,根据垃圾分类的标准，应该属于厨余垃圾
"
3644,图中展示的物品是菜,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
3645,图中展示的物品是蛋糕，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
3646,图中展示的物品是玩具，根据垃圾分类的标准，应该属于垃圾,"图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物
"
3647,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是白萝卜,根据垃圾分类的标准，应该属于厨余垃圾
"
3648,图中展示的物品是[玻璃容器]，根据垃圾分类的标准，应该属于[玻璃],"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
3649,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物
"
3650,图中展示的物品是烟灰缸，根据垃圾分类的标准，应该属于废纸。,"图中展示的物品是烟灰缸,根据垃圾分类的标准，应该属于可回收物
"
3651,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾
"
3652,图中展示的物品是橡胶手套，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是厨房手套,根据垃圾分类的标准，应该属于其他垃圾
"
3653,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物
"
3654,图中展示的物品是遥控器，根据垃圾分类的标准，应该属于废电子类,"图中展示的物品是空调遥控器,根据垃圾分类的标准，应该属于可回收物
"
3655,图中展示的物品是玻璃容器，根据垃圾分类的标准，应该属于玻璃垃圾。,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物
"
3656,"图中展示的物品是纸张,根据垃圾分类的标准，应该属于可回收垃圾","图中展示的物品是信封,根据垃圾分类的标准，应该属于可回收物
"
3657,图中展示的物品是化妆品，根据垃圾分类的标准，应该属于有害垃圾,"图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物
"
3658,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是残渣剩饭,根据垃圾分类的标准，应该属于厨余垃圾
"
3659,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物
"
3660,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾
"
3661,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是充电头,根据垃圾分类的标准，应该属于可回收物
"
3662,图中展示的物品是{cosmetics}，根据垃圾分类的标准，应该属于{garbage_type}化妆品。,"图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物
"
3663,机器人,"图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物
"
3664,图中展示的物品是毛巾，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是毛巾,根据垃圾分类的标准，应该属于其他垃圾
"
3665,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是笔及笔芯,根据垃圾分类的标准，应该属于其他垃圾
"
3666,图中展示的物品是手套，根据垃圾分类的标准，应该属于{garbage_type}废品,"图中展示的物品是厨房手套,根据垃圾分类的标准，应该属于其他垃圾
"
3667,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是档案袋,根据垃圾分类的标准，应该属于可回收物
"
3668,"图中展示的物品是[wood_object],根据垃圾分类的标准，应该属于[recyclable]","图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物
"
3669,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是干燥剂,根据垃圾分类的标准，应该属于其他垃圾
"
3670,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是电动牙刷,根据垃圾分类的标准，应该属于可回收物
"
3671,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物
"
3672,图中展示的物品是蛋糕，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
3673,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
3674,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}塑料制品。","图中展示的物品是废弃扩声器,根据垃圾分类的标准，应该属于可回收物
"
3675,"图中展示的物品是[handbag_object],根据垃圾分类的标准，应该属于[trash]","图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物
"
3676,图中展示的物品是吹风机，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是吹风机,根据垃圾分类的标准，应该属于可回收物
"
3677,图中展示的物品是钢丝球，根据垃圾分类的标准，应该属于有害垃圾,"图中展示的物品是钢丝球,根据垃圾分类的标准，应该属于可回收物
"
3678,图中展示的物品是{tomato}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是圣女果,根据垃圾分类的标准，应该属于厨余垃圾
"
3679,图中展示的物品是电源适配器，根据垃圾分类的标准，应该属于电子废弃物。,"图中展示的物品是充电宝,根据垃圾分类的标准，应该属于可回收物
"
3680,图中展示的物品是线缆，根据垃圾分类的标准，应该属于{recyclable},"图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物
"
3681,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是登机牌,根据垃圾分类的标准，应该属于可回收物
"
3682,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物
"
3683,图中展示的物品是饼干，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾
"
3684,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾
"
3685,图中展示的物品是鼠标，根据垃圾分类的标准，应该属于电子废弃物,"图中展示的物品是鼠标,根据垃圾分类的标准，应该属于可回收物
"
3686,"图中展示的物品是[spoon],根据垃圾分类的标准，应该属于[厨余垃圾]","图中展示的物品是勺子,根据垃圾分类的标准，应该属于可回收物
"
3687,图中展示的物品是{baked_food}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
3688,图中展示的物品是纸箱，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物
"
3689,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}其他垃圾","图中展示的物品是鸡毛掸,根据垃圾分类的标准，应该属于其他垃圾
"
3690,图中展示的物品是玻璃，根据垃圾分类的标准，应该属于玻璃垃圾,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
3691,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物
"
3692,图中展示的物品是银行卡，根据垃圾分类的标准，应该属于{garbage_type}废纸。,"图中展示的物品是卡,根据垃圾分类的标准，应该属于可回收物
"
3693,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是核桃,根据垃圾分类的标准，应该属于厨余垃圾
"
3694,图中展示的物品是瓜子，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是瓜子,根据垃圾分类的标准，应该属于厨余垃圾
"
3695,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是车钥匙,根据垃圾分类的标准，应该属于可回收物
"
3696,图中展示的物品是{card}，根据垃圾分类的标准，应该属于{garbage_type},"图中展示的物品是纸牌,根据垃圾分类的标准，应该属于可回收物
"
3697,图中展示的物品是白菜，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是白菜,根据垃圾分类的标准，应该属于厨余垃圾
"
3698,"图中展示的物品是{kettle_object},根据垃圾分类的标准，应该属于{recyclable}","图中展示的物品是烧水壶,根据垃圾分类的标准，应该属于可回收物
"
3699,图中展示的物品是食物，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾
"
3700,图中展示的物品是香肠，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
3701,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是火龙果,根据垃圾分类的标准，应该属于厨余垃圾
"
3702,图中展示的物品是尺子，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是尺子,根据垃圾分类的标准，应该属于可回收物
"
3703,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
3704,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是巴旦木,根据垃圾分类的标准，应该属于厨余垃圾
"
3705,图中展示的物品是紫色土豆泥，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是普通面包,根据垃圾分类的标准，应该属于厨余垃圾
"
3706,图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{organic},"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
3707,"图中展示的物品是[red object],根据垃圾分类的标准，应该属于[可回收垃圾]","图中展示的物品是圣女果,根据垃圾分类的标准，应该属于厨余垃圾
"
3708,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾
"
3709,图中展示的物品是{brush}，根据垃圾分类的标准，应该属于{cleaning},"图中展示的物品是鸡毛掸,根据垃圾分类的标准，应该属于其他垃圾
"
3710,图中展示的物品是玩具，根据垃圾分类的标准，应该属于玩具。,"图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物
"
3711,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是鞋,根据垃圾分类的标准，应该属于可回收物
"
3712,图中展示的物品是{paper}，根据垃圾分类的标准，应该属于{paper},"图中展示的物品是档案袋,根据垃圾分类的标准，应该属于可回收物
"
3713,图中展示的物品是{car_key}，根据垃圾分类的标准，应该属于{garbage_type}垃圾。,"图中展示的物品是车钥匙,根据垃圾分类的标准，应该属于可回收物
"
3714,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是车钥匙,根据垃圾分类的标准，应该属于可回收物
"
3715,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是八宝粥,根据垃圾分类的标准，应该属于厨余垃圾
"
3716,图中展示的物品是化妆水，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物
"
3717,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是果冻,根据垃圾分类的标准，应该属于厨余垃圾
"
3718,图中展示的物品是线缆，根据垃圾分类的标准，应该属于电子废弃物,"图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物
"
3719,图中展示的物品是{toy}，根据垃圾分类的标准，应该属于{toy},"图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物
"
3720,图中展示的物品是茶杯，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物
"
3721,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物
"
3722,图中展示的物品是镊子，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是镊子,根据垃圾分类的标准，应该属于可回收物
"
